명칭,흡연,녹지,도보생활권공원,스트레스,우울감,금연치료센터,주거면적,1인가구,음주,고위험음주,소득세,금연시도율,걷기운동,고강동운동,비만
강남구,12,3.479541397,6.6,26,8,59.20928689,33,25.93985085,63,14,8157.047177,40,62,29,25
강동구,15,1.275268272,4.36,21,8,37.53076894,26.4,25.23406547,62,16,1723.619836,52,66,33,30
강북구,20,0.491179385,7.36,33,6,35.96652997,27.2,29.08727537,55,19,719.2817978,31,57,18,37
강서구,16,2.072873271,6.28,32,9,33.80255353,26.3,29.42467143,54,18,1703.428014,36,67,30,31
관악구,19,0.528017296,3.97,29,10,35.99742158,25.4,36.76933499,58,15,768.2963446,47,65,29,33
광진구,17,0.876145836,3.88,29,7,37.65479888,27.2,31.49882095,63,14,1356.803939,47,69,26,32
구로구,16,1.78712365,4.05,26,6,36.32438448,27.9,26.76352449,61,17,1275.938504,55,61,26,37
금천구,22,1.871926061,2.36,30,11,37.75110033,27,32.34054307,59,18,2046.920923,38,58,30,36
노원구,15,1.394846177,3.82,25,6,33.79155496,26,24.62250044,63,14,727.2156593,54,74,25,31
도봉구,20,0.90122614,3.67,28,10,30.6699909,27.8,25.02887036,63,15,683.8644881,46,71,25,30
동대문구,16,1.244465438,2.95,20,3,38.08286714,27.5,31.03739673,63,13,1409.485952,38,71,23,35
동작구,14,0.708149835,5.97,29,9,35.12515999,28.3,30.20867251,62,14,1362.16124,47,73,23,33
마포구,16,2.434816293,11.76,29,9,36.52290844,28.1,30.38906894,57,13,2392.436706,45,68,26,34
서대문구,15,0.838637887,3.55,29,9,28.39661486,29,29.15034224,59,14,1308.397899,54,61,22,31
서초구,14,3.543582385,5.37,26,8,44.32189943,33.3,23.79046033,59,11,6164.30156,54,67,31,26
성동구,15,1.140976874,10.34,25,6,44.57940066,28.4,28.27310081,62,13,2859.375793,43,66,31,29
성북구,20,0.921913844,3.87,24,8,28.70291299,28.2,27.59983966,61,13,1058.950332,44,74,29,32
송파구,12,1.543408039,6.7,24,7,39.07031118,28.7,25.09390636,60,13,2573.37873,35,70,30,28
양천구,14,1.115612006,5.09,21,5,31.09221859,27.1,22.07440188,61,13,1248.799569,37,73,23,31
영등포구,14,2.209787759,7.45,24,6,44.14444061,30.3,31.09741109,62,14,4903.663357,50,73,29,29
용산구,13,1.730763193,7.42,18,3,35.31939525,34.5,30.19725839,59,15,4953.724116,12,80,28,25
은평구,15,0.889431766,4.75,22,6,33.41151048,27.1,26.1863413,60,14,747.47115,53,70,20,31
종로구,16,1.652266944,20.27,22,8,67.22761971,32.7,31.53820084,57,15,7835.95641,48,66,27,27
중구,15,1.835835877,10.61,25,5,105.3557207,29.6,32.61537769,57,12,15103.8515,29,74,28,27
중랑구,21,1.424334386,4.89,27,7,35.59431967,26.2,28.51799155,67,17,757.7408048,46,68,22,34
