시군구별(1),region,시군구별(3),2024,rate
서울특별시,강남구,소계,917,11.7
서울특별시,강동구,소계,920,14.5
서울특별시,강북구,소계,915,20.3
서울특별시,강서구,소계,918,16.1
서울특별시,관악구,소계,915,18.5
서울특별시,광진구,소계,917,17.1
서울특별시,구로구,소계,915,16.1
서울특별시,금천구,소계,915,22.3
서울특별시,노원구,소계,916,14.8
서울특별시,도봉구,소계,915,19.7
서울특별시,동대문구,소계,916,15.6
서울특별시,동작구,소계,915,13.7
서울특별시,마포구,소계,916,16
서울특별시,서대문구,소계,915,14.5
서울특별시,서초구,소계,916,13.8
서울특별시,성동구,소계,915,15.1
서울특별시,성북구,소계,915,19.8
서울특별시,송파구,소계,921,12.2
서울특별시,양천구,소계,916,14.1
서울특별시,영등포구,소계,915,13.7
서울특별시,용산구,소계,923,13.4
서울특별시,은평구,소계,915,15
서울특별시,종로구,소계,913,15.7
서울특별시,중구,소계,914,14.7
서울특별시,중랑구,소계,915,20.6
